title,cities,funds,ein,maps
DIRECTIONS MEDICAL CLINIC,California,0.00,68-0299482,https://aheart2help.com/organization/directions-medical-clinic-2/
DIRECTORS GUILD FOUNDATION,California,0.00,95-6052151,https://aheart2help.com/organization/directors-guild-foundation-2/
DIRECTORS GUILD OF AMERICA CONTRACT ADMINISTRATION TRUST EAST,California,0.00,94-2930591,https://aheart2help.com/organization/directors-guild-of-america-contract-administration-trust-east-2/
DIRECTORS GUILD OF AMERICA CONTRACT ADMINISTRATION WEST,California,0.00,95-3374683,https://aheart2help.com/organization/directors-guild-of-america-contract-administration-west-2/
DIRECTORS GUILD OF AMERICA INC,California,0.00,95-1202310,https://aheart2help.com/organization/directors-guild-of-america-inc-2/
DIRECTORS GUILD OF AMERICA PRODUCER HEALTH AND WELFARE PLAN,California,0.00,23-7067289,https://aheart2help.com/organization/directors-guild-of-america-producer-health-and-welfare-plan-2/
DIRECTORS GUILD-PRODUCERS TRAINING PLAN,California,0.00,95-6156945,https://aheart2help.com/organization/directors-guild-producers-training-plan-2/
DIRECTORS LEAGUE,California,0.00,83-1692257,https://aheart2help.com/organization/directors-league-2/
DIRECTORS OF EDUCATIONAL TECHNOLOGY IN CALIFORNIA HIGHER EDCUATION,California,0.00,95-4543864,https://aheart2help.com/organization/directors-of-educational-technology-in-california-higher-edcuation-2/
DIRECTORS OF PUBLIC HEALTH NURSING,California,0.00,77-0485130,https://aheart2help.com/organization/directors-of-public-health-nursing-2/
